ID,USERID,EXPERIENCIA,ALG_01,BASE_ALG_01,DEC_01,BASE_DEC_01,REC_01,BASE_REC_01,ABS_01,BASE_ABS_01,TOTAL_ATIVIDADE_01
aluno 01,63,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0
aluno 02,56,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0
aluno 03,41,1,S,2.5,S,2.5,S,2.5,S,2.5,10.0
aluno 04,25,2,S,2.5,P,1.25,P,1.25,N,0.0,5.0
aluno 05,26,3,S,2.5,S,2.5,S,2.5,N,0.0,7.5
aluno 06,20,3,S,2.5,P,1.25,P,1.25,N,0.0,5.0
aluno 07,43,2,S,2.5,S,2.5,S,2.5,N,0.0,7.5
aluno 08,65,3,,0.0,,0.0,,0.0,,0.0,0.0
aluno 09,40,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0
aluno 10,50,2,S,2.5,P,1.25,P,1.25,N,0.0,5.0
aluno 11,35,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0
aluno 12,36,3,S,2.5,S,2.5,S,2.5,S,2.5,10.0
aluno 13,34,1,N,0.0,P,1.25,P,1.25,N,0.0,2.5
aluno 14,48,1,S,2.5,S,2.5,S,2.5,N,0.0,7.5
aluno 15,53,1,S,2.5,P,1.25,P,1.25,N,0.0,5.0
aluno 16,45,1,,0.0,,0.0,,0.0,,0.0,0.0
aluno 17,39,3,S,2.5,P,1.25,P,1.25,N,0.0,5.0
aluno 18,38,4,S,2.5,S,2.5,S,2.5,S,2.5,10.0
aluno 19,54,2,S,2.5,S,2.5,P,1.25,N,0.0,6.25
aluno 20,30,2,S,2.5,P,1.25,P,1.25,N,0.0,5.0
aluno 21,22,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0
aluno 22,49,3,S,2.5,S,2.5,S,2.5,N,0.0,7.5
aluno 24,44,2,,0.0,,0.0,,0.0,,0.0,0.0
aluno 25,46,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0
aluno 26,51,1,S,2.5,P,1.25,P,1.25,N,0.0,5.0
aluno 27,57,4,S,2.5,P,1.25,P,1.25,N,0.0,5.0
aluno 28,27,1,S,2.5,P,1.25,P,1.25,N,0.0,5.0
aluno 29,60,1,,0.0,,0.0,,0.0,,0.0,0.0
aluno 30,21,3,S,2.5,S,2.5,P,1.25,N,0.0,6.25
aluno 31,18,2,S,2.5,S,2.5,S,2.5,S,2.5,10.0
aluno 32,23,2,S,2.5,S,2.5,S,2.5,N,0.0,7.5
aluno 33,29,2,S,2.5,P,1.25,P,1.25,N,0.0,5.0
aluno 34,31,2,S,2.5,S,2.5,S,2.5,P,1.25,8.75
aluno 35,37,1,S,2.5,P,1.25,P,1.25,N,0.0,5.0
aluno 36,47,1,,0.0,,0.0,,0.0,,0.0,0.0
aluno 37,42,1,S,2.5,S,2.5,S,2.5,N,0.0,7.5
aluno 38,52,1,S,2.5,S,2.5,S,2.5,S,2.5,10.0
aluno 39,28,3,S,2.5,S,2.5,S,2.5,S,2.5,10.0
